tweets,id,len,date,source,likes,retweets,polarity,sentiment,companies
tweeted Much is made lately of unrealized gains being a means of tax avoidance so I propose selling 10 of my Tesla stock Do you support this and over 3 5M people voted on his poll with 57 9 of them voting yes TSLA bull or bear,1457760888413462538,276,2021-11-08 17:24:14,Twitter Web App,11,1,-0.04999999999999999,wnegative,Tesla
Tech is making moves Credit,1457739817983303687,71,2021-11-08 16:00:30,Twitter Web App,21,4,0.0,neutral,None
Here s what s trending on Stocktwits right now,1457729329253732361,99,2021-11-08 15:18:50,Twitter Web App,18,2,0.2857142857142857,wpositive,None
,1457715164279672833,26,2021-11-08 14:22:32,Twitter for iPhone,25,1,0.0,neutral,None
gm what s on your watchlist this week,1457687189987467267,43,2021-11-08 12:31:23,Twitter for iPhone,34,4,0.0,neutral,None
It s finally Friday Employment in the U S grew more than expected for Oct McAfee rose 20 on news that it could be acquired Canopy Growth is growing Read all about it in today s Daily Rip,1456758618909552642,248,2021-11-05 23:01:34,Twitter for iPhone,20,3,0.2,wpositive,None
After booming while people were forced to workout at home during 2020 PTON s stock raise to 170 last December Crazy to think those shares now trade below 60 decreasing 62 YTD,1456731133727502336,182,2021-11-05 21:12:21,Twitter Web App,17,2,-0.3,negative,None
Last night Peloton reported larger than expected losses The company lowered revenue outlook on top of that Rough EPS 1 25 vs 1 15 expected Revenue 805 2 million vs 810 6 million expected,1456731131336867843,232,2021-11-05 21:12:21,Twitter Web App,14,2,0.01428571428571429,wpositive,None
It s been one problem after another for the fitness company in 2021 New treadmills were recalled in May and while they were already struggling to deliver machines in a timely manner additional supply chain woes entered the picture,1456731128249860103,233,2021-11-05 21:12:20,Twitter Web App,0,0,0.13636363636363635,wpositive,None
PTON opened down 33 5 this morning at its lowest price since July 2020 a botched earnings report partly based on supply chain issues is to blame for that,1456731126073077760,182,2021-11-05 21:12:19,Twitter Web App,15,1,-0.15555555555555559,wnegative,None
If you re a Peloton investor you probably shouldn t look at your brokerage account today PTON has deflated 38 It s the worst week the company has had on markets,1456731117088907264,171,2021-11-05 21:12:17,Twitter Web App,45,12,0.0,neutral,None
