tweets,id,len,date,source,likes,retweets,polarity,sentiment,companies
RT Bold promises but non binding agreements with few enforcement tools to measure progress Here s my roundup from week one,1457718028829958151,139,2021-11-08 14:33:55,Twitter Web App,0,5,0.06666666666666665,wpositive,None
We re definitely in the transitory inflation camp and I think it really comes back to this idea that the pandemic is still like it or not in the driver s seat as it relates to the inflation backdrop and supply chain disruptions PNC Financial Services says,1457717571227209730,304,2021-11-08 14:32:06,Twitter Media Studio - LiveCut,5,1,0.05,wpositive,None
on the infrastructure bill This has billions of dollars for airports for roads for bridges broadband electric vehicle charging stations things that really lawmakers on both sides of the aisle have said the nation needs to repair and update,1457716249861963776,294,2021-11-08 14:26:51,Twitter Media Studio - LiveCut,8,2,0.2,wpositive,None
TOMORROW Join us for Crypto Goes Mainstream on 11 9 from 1 5PM ET Yahoo Finance and Decrypt present an afternoon of live conversations with some of the biggest names in crypto Read more,1457706722789711880,238,2021-11-08 13:49:00,TweetDeck,10,4,0.21212121212121213,wpositive,None
Bitcoin closes in on record above 66K leads cryptocurrencies on fresh bull run by,1457697753220403200,142,2021-11-08 13:13:21,SocialFlow,33,13,0.15,wpositive,None
Here comes the travel boom Morning Brief by,1457677651259318272,104,2021-11-08 11:53:29,SocialFlow,10,3,0.0,neutral,None
THIS WEEK Join us for Crypto Goes Mainstream on 11 9 from 1 5PM ET Yahoo Finance and Decrypt present an afternoon of live conversations with some of the biggest names in crypto Read more,1457495078163947520,239,2021-11-07 23:48:00,TweetDeck,25,6,0.21212121212121213,wpositive,None
Inflation data US eases travel restrictions What to know this week by mcck,1457435011804803078,131,2021-11-07 19:49:19,SocialFlow,8,4,0.0,neutral,None
Airlines prepare for international travel surge as US eases COVID restrictions by,1457397909075468292,138,2021-11-07 17:21:53,SocialFlow,20,2,0.0,neutral,None
Wall Street permanently changed by meme stocks retail trading star YouTube trader by ferre,1457390915539046409,148,2021-11-07 16:54:05,SocialFlow,22,8,0.0,neutral,None
Dropbox founder we are gearing up for the metaverse by,1457388070551105545,115,2021-11-07 16:42:47,SocialFlow,30,12,0.0,neutral,None
The energy crisis that helped revive coal is easing for now via,1457382755755597829,122,2021-11-07 16:21:40,SocialFlow,10,4,0.0,neutral,None
U S federal appeals court freezes Biden s vaccine rule for companies,1457376276164104204,117,2021-11-07 15:55:55,SocialFlow,47,7,0.0,neutral,None
Musk asks Twitter followers whether he should sell 10 of Tesla stock,1457374277725040648,117,2021-11-07 15:47:59,SocialFlow,23,3,0.0,neutral,Tesla
THIS WEEK Join us for Crypto Goes Mainstream on 11 9 from 1 5PM ET Yahoo Finance and Decrypt present an afternoon of live conversations with some of the biggest names in crypto Read more,1457359182705819649,239,2021-11-07 14:48:00,TweetDeck,7,2,0.21212121212121213,wpositive,None
Vaccine mandate New details answer lingering questions about long awaited rule by,1457301755847397379,143,2021-11-07 10:59:48,SocialFlow,8,0,0.043181818181818175,wpositive,None
Labor Secretary Vaccine requirement will help people feel safe at work boost labor force participation by,1457235325999325190,171,2021-11-07 06:35:50,SocialFlow,21,3,0.5,positive,None
Apple SharePlay How to watch movies and TV shows with up to 33 people at once by,1457229553840103425,143,2021-11-07 06:12:54,SocialFlow,9,2,0.0,neutral,Apple
Battery Plus CEO Supply crisis meant holiday planning started back in April by,1457220497847029765,143,2021-11-07 05:36:55,SocialFlow,13,2,0.0,neutral,None
Expert Higher interest rates are like a flu shot for your retirement portfolio by,1457215387578376192,143,2021-11-07 05:16:36,SocialFlow,11,1,0.25,wpositive,None
Powell commits to ensuring trading scandal never happens again at Federal Reserve by,1457210272037412866,142,2021-11-07 04:56:17,SocialFlow,20,7,0.0,neutral,None
Why this Republican senator wants to protect a controversial trading practice by,1457194921820102661,142,2021-11-07 03:55:17,SocialFlow,9,4,0.375,positive,None
This West Virginia town will give you a 20 000 incentive to move in by,1457188465465036809,132,2021-11-07 03:29:38,SocialFlow,13,4,0.0,neutral,None
Facebook s metaverse will still track your every move by,1457171044117123075,118,2021-11-07 02:20:24,SocialFlow,29,8,0.0,neutral,Facebook
Big banks getting in the game of hiring crypto talent by,1457165784812228610,116,2021-11-07 01:59:30,SocialFlow,61,18,-0.2,wnegative,None
Cowen CEO Cryptocurrency regulation would be a good thing by,1457159542903611400,121,2021-11-07 01:34:42,SocialFlow,33,6,0.7,spositive,None
Treat people like humans and the labor crisis will improve top economist by,1457148084811599873,136,2021-11-07 00:49:10,SocialFlow,32,10,0.5,positive,None
Sen Toomey blasts stablecoin bank idea as crypto regulation debate heats up by,1457142697387511811,140,2021-11-07 00:27:46,SocialFlow,15,3,0.0,neutral,None
Supply chain issues see no relief in October Oxford Economics by,1457136665051508742,126,2021-11-07 00:03:47,SocialFlow,20,5,0.0,neutral,None
Toomey vows fix to badly flawed cryptocurrency broker plan in infrastructure bill by,1457131164452405257,148,2021-11-06 23:41:56,SocialFlow,17,2,-0.5,negative,None
Test optional leads to more options for students and revenue losses for Big Test by,1457125755041816578,144,2021-11-06 23:20:26,SocialFlow,6,0,0.25,wpositive,None
Americans are too grumpy by,1457119851269525506,88,2021-11-06 22:56:59,SocialFlow,15,2,0.0,neutral,None
Here s why some unemployed workers aren t looking for a new job by tsekova,1457101644164857863,131,2021-11-06 21:44:38,SocialFlow,17,4,0.13636363636363635,wpositive,None
Climate change We need private capital for riskier green projects Apollo co founder says by,1457096430695366656,156,2021-11-06 21:23:55,SocialFlow,9,5,-0.1,wnegative,None
NEXT WEEK Join us for Crypto Goes Mainstream on 11 9 from 1 5PM ET Yahoo Finance and Decrypt present an afternoon of live conversations with some of the biggest names in crypto Read more,1457087391970254852,239,2021-11-06 20:48:00,TweetDeck,12,2,0.1590909090909091,wpositive,None
The success of Bill Gates and other ultra rich depends on millions of poor people Billionaire Tom Steyer by and,1457080366041292801,180,2021-11-06 20:20:05,SocialFlow,19,4,0.037500000000000006,wpositive,None
Airlines are raising wages and hiring amid labor shortage by,1457075134699872258,117,2021-11-06 19:59:17,SocialFlow,8,2,0.0,neutral,None
Jobs report decent but should be so much better by,1457068488460226563,115,2021-11-06 19:32:53,SocialFlow,7,1,0.3333333333333333,positive,None
McDonald s McRib NFTs fuel social media mentions new data shows by,1457063275116572684,131,2021-11-06 19:12:10,SocialFlow,19,3,0.08484848484848484,wpositive,None
Costco is dominating ahead of the holiday season by,1457057471021961231,111,2021-11-06 18:49:06,SocialFlow,11,2,0.0,neutral,Costco
Hopper CEO The time to book your holiday travel is now with prices rising by,1457050936656990210,138,2021-11-06 18:23:08,SocialFlow,10,2,0.0,neutral,None
These are the new IRS 401 k limits for 2022,1457047629716545542,69,2021-11-06 18:10:00,Twitter Media Studio,10,11,0.13636363636363635,wpositive,None
Thousands of Amazon workers in NYC want a union Will they win by,1457040706070056961,124,2021-11-06 17:42:29,SocialFlow,14,4,0.8,spositive,Amazon
Billionaire Tom Steyer This type of bitcoin venture is a disaster for the environment by and,1457034763483615234,161,2021-11-06 17:18:52,SocialFlow,11,1,0.0,neutral,None
Peloton stock is crashing is it time to go all in by,1457029713847898119,116,2021-11-06 16:58:48,SocialFlow,22,6,0.0,neutral,None
Mondelez CFO Don t expect relief from supply chain inflation woes next year either by,1457023896729923584,151,2021-11-06 16:35:41,SocialFlow,12,6,0.0,neutral,None
This week in Bidenomics Two badly needed wins by,1457015800867565575,110,2021-11-06 16:03:31,SocialFlow,8,1,-0.19999999999999993,wnegative,None
NEXT WEEK Join us for Crypto Goes Mainstream on 11 9 from 1 5PM ET Yahoo Finance and Decrypt present an afternoon of live conversations with some of the biggest names in crypto Read more,1457011642772844545,239,2021-11-06 15:47:00,TweetDeck,14,5,0.1590909090909091,wpositive,None
The burger wars that 59 of you know nothing about by and,1457009562310090754,123,2021-11-06 15:38:44,SocialFlow,19,5,0.0,neutral,None
Climate change COP26 ambitions met with skepticism after week one by,1457004247271329797,130,2021-11-06 15:17:37,SocialFlow,10,3,0.0,neutral,None
Here are some of the numbers behind the New York City Marathon,1457002331522928647,87,2021-11-06 15:10:00,Twitter Media Studio,18,6,-0.13181818181818183,wnegative,None
Biden will sign once in a generation infrastructure bill soon,1456997090559766535,111,2021-11-06 14:49:10,SocialFlow,47,7,0.0,neutral,None
Battery Plus CEO Supply crisis meant holiday planning started back in April by,1456992695180840966,143,2021-11-06 14:31:42,SocialFlow,10,6,0.0,neutral,None
The 2 9 billion lunar lander contract will remain with Elon Musk s SpaceX,1456972132441677842,99,2021-11-06 13:10:00,Twitter Media Studio,41,14,0.0,neutral,None
NEXT WEEK Join us for Crypto Goes Mainstream on 11 9 from 1 5PM ET Yahoo Finance and Decrypt present an afternoon of live conversations with some of the biggest names in crypto Read more,1456800249725341697,215,2021-11-06 01:47:00,TweetDeck,12,3,0.1590909090909091,wpositive,None
We re really active and engage with our community on social media ONO Overnight Oats Co Founder Nilou Shahryari says about developing new products A lot of times we ask what kind of flavors they re craving next and that s where we get a lot of our ideas from,1456729612185112576,295,2021-11-05 21:06:18,Twitter Media Studio - LiveCut,25,3,0.12727272727272726,wpositive,None
Kogod School of Business Tax Professor on how freelancers and gig workers should approach taxes and retirement planning The no 1 thing I tell them to do is to properly report your income and pay your self employment tax,1456727038354669574,263,2021-11-05 20:56:05,Twitter Media Studio - LiveCut,3,1,0.0,neutral,None
Supply chain issues see no relief in October Oxford Economics by,1456726406122156036,126,2021-11-05 20:53:34,SocialFlow,20,11,0.0,neutral,None
Airlines are raising wages and hiring amid labor shortage by,1456726319211888641,117,2021-11-05 20:53:13,SocialFlow,12,6,0.0,neutral,None
I m convinced that the key to making progress isn t just mentoring but sponsoring Southwest Airlines incoming CEO Bob Jordan says on diversity and inclusion A mentor talks to you a sponsor talks about you to others and puts you in places where you can develop,1456724154040864778,295,2021-11-05 20:44:37,Twitter Media Studio - LiveCut,11,4,0.0,neutral,None
We started this year with almost 5 000 vacancies among our teachers Florida Education Association President says It s an extremely stressful time especially for those who work in our public schools and unfortunately that s leading to a mass exodus,1456723733473857539,295,2021-11-05 20:42:57,Twitter Media Studio - LiveCut,8,2,-0.15625,wnegative,None
This week in Bidenomics Two wins by,1456722883686850565,98,2021-11-05 20:39:34,SocialFlow,6,2,0.3,wpositive,None
Cannabis stocks rally on a report that a Republican led legalization bill is imminent explains,1456717828434931716,132,2021-11-05 20:19:29,Twitter Media Studio - LiveCut,76,20,0.0,neutral,None
We have to look at the spend out rates of both these infrastructure packages s Sarah House says It s a lot slower and more indirect than what we saw with the fiscal packages earlier this year And so I don t think it has the same inflationary impulse,1456717177009184776,295,2021-11-05 20:16:54,Twitter Media Studio - LiveCut,3,2,0.16666666666666666,wpositive,None
Investors should take on board the huge change we re going to see in the investing environment in the next six months Caravel Concepts CEO says We keep the better than expected earnings but we re going to lose those massive liquidity injections by the Fed,1456716980933779456,302,2021-11-05 20:16:07,Twitter Media Studio - LiveCut,5,3,0.16000000000000003,wpositive,None
Wages are table stakes today ManpowerGroup President says about how employers can entice new workers It s going to be wages plus things like flexibility autonomy health and well being and definitely a sense of purpose Full interview,1456712684502716425,281,2021-11-05 19:59:03,Twitter Media Studio - LiveCut,6,2,0.1621212121212121,wpositive,None
COVID vaccines for children is bigger than the pill that Pfizer or Merck could produce because this is going to be our key to ending the pandemic s Dr Suzanne Judd says Having children vaccinated is a much better strategy in terms of keeping the virus at bay,1456709614796427268,299,2021-11-05 19:46:51,Twitter Media Studio - LiveCut,6,7,0.16666666666666666,wpositive,"Pfizer, Merck"
There will likely be one more coronavirus wave at least but it probably will not be nearly as high as the last three we ve seen epidemiologist Dr Suzanne Judd says I m thinking by the end of next summer that s probably where we ll be ready to declare victory,1456709359812202499,303,2021-11-05 19:45:50,Twitter Media Studio - LiveCut,7,4,0.08,wpositive,None
There s definitely growth in the category Boston Beer Company CEO Dave Burwick says about non alcoholic beer It s not going to be material probably for two or three years but you have to get in early and establish a beachhead for when the category gets scale,1456706276780658691,293,2021-11-05 19:33:35,Twitter Media Studio - LiveCut,7,1,-0.049999999999999996,wnegative,None
