tweets,id,len,date,source,likes,retweets,polarity,sentiment,companies
tense,1457493541580595203,29,2021-11-07 23:41:53,Twitter for iPhone,96,4,-0.3333333333333333,negative,None
watch our,1457490348557676545,45,2021-11-07 23:29:12,Twitter for iPhone,68,4,0.0,neutral,None
on the road to,1457483403163471873,40,2021-11-07 23:01:36,Twitter for iPhone,70,5,0.0,neutral,None
even redder sky,1457469936725540864,39,2021-11-07 22:08:06,Twitter for iPhone,439,7,0.0,neutral,None
red sky at night delight,1457468079282216974,58,2021-11-07 22:00:43,Twitter for iPhone,412,18,0.0,neutral,None
here we go,1457465632690253826,36,2021-11-07 21:50:59,Twitter for iPhone,113,10,0.0,neutral,None
thank you Vets,1457452893208989701,39,2021-11-07 21:00:22,Twitter for iPhone,255,5,0.0,neutral,None
Sweat the difference maker,1457452417696600070,53,2021-11-07 20:58:29,Twitter for iPhone,44,1,0.0,neutral,None
go Birds,1457451841046958086,34,2021-11-07 20:56:11,Twitter for iPhone,96,1,0.0,neutral,None
on Veterans Day we remember,1457408443787132929,51,2021-11-07 18:03:44,Twitter for iPhone,1796,33,0.0,neutral,None
RT Treedom US House invests 8B for reforestation amp 5B for forest resilience REPLANT Act for 2 8B trees by,1457376140675502083,144,2021-11-07 15:55:23,Twitter for iPhone,0,37,0.0,neutral,None
Thanks twt It would be something if Chapek went with my view DIS,1457054650151182339,100,2021-11-06 18:37:54,TweetDeck,42,2,0.2,wpositive,None
THE entertainer,1456794429952507905,39,2021-11-06 01:23:52,Twitter for iPhone,616,11,0.0,neutral,None
greatness thank you Charlotte,1456789804155342852,56,2021-11-06 01:05:29,Twitter for iPhone,510,7,0.0,neutral,None
From one chill to another Brilliant,1456731889956499463,62,2021-11-05 21:15:21,Twitter for iPhone,81,4,0.9,spositive,None
RT You have helped me understand tremendously I have learned a lot Thank you for helping me continue to grow,1456685891175522318,140,2021-11-05 18:12:35,Twitter for iPhone,0,1,0.3333333333333333,positive,None
RT Me too Joined the Day 1 of its launch and every day I look forward to the email and to the wisdom of JimmyCh,1456685826306453507,140,2021-11-05 18:12:19,Twitter for iPhone,0,1,0.0,neutral,None
RT COP26 Nothing is more important than reducing emissions every company country amp individual go Net Zero now We must nurture,1456669903952486401,144,2021-11-05 17:09:03,TweetDeck,0,38,0.225,wpositive,None
,1456639291031969803,50,2021-11-05 15:07:24,Twitter for iPhone,53,1,0.0,neutral,None
